gap_id,role_or_entity,stage,gap_type,current_state,required_state,3nf_impact,ssot_impact,rbac_impact,severity,effort,dependency,closure_ticket
GAP-001,project_role,All,Schema,"12-value enum exists (00148) but SYSTEM_ROLE_IDS in src/types/rbac.ts still lists 4 legacy project UUIDs","SYSTEM_ROLE_IDS populated with 12 canonical UUIDs 00000000-0000-0000-0000-000000000301..312",Low,High,High,P0,Small,None,C-RBAC-01
GAP-002,project_role,All,RBAC,"DEFAULT_PERMISSIONS in src/lib/permissions.ts covers only 10 platform roles; no project-role permission matrix","DEFAULT_PROJECT_PERMISSIONS: Record<ProjectRole, Record<resource, Set<action>>> with bundles per 01-role-inventory-matrix.md",Low,High,High,P0,Medium,GAP-001,C-RBAC-02
GAP-003,project_role,All,RBAC,"API guards in permission-guard.ts only check platform roles; project role never reaches the check","requirePermission() resolves project membership then consults DEFAULT_PROJECT_PERMISSIONS[projectRole] before falling back to platform",Low,High,High,P0,Medium,GAP-002,C-RBAC-03
GAP-004,project_role,All,RBAC,"Action vocabulary drift: app layer uses view/create/edit/delete; RPC uses create/read/update/delete/manage/invite/approve/export/configure/bulk_invite/impersonate","Unify on RPC action set across app + DB; document deprecation of view/edit aliases",Low,High,Medium,P1,Medium,None,C-RBAC-04
GAP-005,project_role,All,Workflow,"role_lifecycle_state enum exists but no transition table enforces validity; any UPDATE can set any state","role_stage_transitions(from_state, to_state, allowed_roles[]) + BEFORE UPDATE trigger rejecting disallowed transitions",High,High,Low,P0,Medium,None,C-STATE-01
GAP-006,project_role,Closeout,Audit,"lifecycle_state has no immutability trigger when set to 'closeout'","BEFORE UPDATE/DELETE trigger raises exception if OLD.lifecycle_state = 'closeout' except for platform admin impersonation with reason",Low,High,Medium,P1,Small,GAP-005,C-STATE-02
GAP-007,project_role,All,Schema,"lifecycle_state column only on advance_collaborators and project_collaborators","Add lifecycle_state to project_users (canonical) + mirror via view to dependents",High,High,Low,P1,Small,None,C-STATE-03
GAP-008,project_role,All,Audit,"No project_role_events audit table","project_role_events(project_id, user_id, role, from_state, to_state, actor_id, actor_role, reason, at) append-only",Low,High,Medium,P1,Small,GAP-005,C-STATE-04
GAP-009,executive,Contracting,Document,"No msa_agreements table; MSAs are stored in compliance_documents without typing","msa_agreements(id, org_id, counterparty_id, effective_at, expires_at, signed_doc_id) with FK",Medium,High,Low,P2,Small,None,C-DOC-01
GAP-010,executive,Closeout,Workflow,"No project-level closeout gate; projects.status just gets set","project_closeout_fn() requires all 12 role lifecycles at archival/closeout; emits immutability trigger on projects + deps",High,High,Medium,P0,Medium,GAP-005+GAP-013,C-STATE-05
